cost,costRank,count,countRank,deaths,deathsRank,disaster,region,year
5.0,3.0,1.0,1.0,1260.0,1.0,drought,CCR,1980
0.0,42.0,0.0,42.0,0.0,42.0,drought,CCR,1981
0.0,42.0,0.0,42.0,0.0,42.0,drought,CCR,1982
1.6,8.0,1.0,1.0,0.0,42.0,drought,CCR,1983
0.0,42.0,0.0,42.0,0.0,42.0,drought,CCR,1984
0.0,42.0,0.0,42.0,0.0,42.0,drought,CCR,1985
0.5,15.0,1.0,1.0,100.0,8.0,drought,CCR,1986
0.0,42.0,0.0,42.0,0.0,42.0,drought,CCR,1987
12.0,2.0,1.0,1.0,454.0,4.0,drought,CCR,1988
1.3,9.0,1.0,1.0,0.0,42.0,drought,CCR,1989
0.0,42.0,0.0,42.0,0.0,42.0,drought,CCR,1990
3.7,4.0,1.0,1.0,0.0,42.0,drought,CCR,1991
0.0,42.0,0.0,42.0,0.0,42.0,drought,CCR,1992
0.2,19.0,1.0,1.0,16.0,12.0,drought,CCR,1993
0.0,42.0,0.0,42.0,0.0,42.0,drought,CCR,1994
0.3,17.0,1.0,1.0,872.0,2.0,drought,CCR,1995
0.0,42.0,0.0,42.0,0.0,42.0,drought,CCR,1996
0.0,42.0,0.0,42.0,0.0,42.0,drought,CCR,1997
0.4,16.0,1.0,1.0,200.0,5.0,drought,CCR,1998
1.3,10.0,1.0,1.0,502.0,3.0,drought,CCR,1999
0.3,18.0,1.0,1.0,140.0,6.0,drought,CCR,2000
0.0,42.0,0.0,42.0,0.0,42.0,drought,CCR,2001
2.7,6.0,1.0,1.0,0.0,42.0,drought,CCR,2002
0.9,14.0,1.0,1.0,35.0,11.0,drought,CCR,2003
0.0,42.0,0.0,42.0,0.0,42.0,drought,CCR,2004
1.1,12.0,1.0,1.0,0.0,42.0,drought,CCR,2005
0.0,21.0,1.0,1.0,0.0,42.0,drought,CCR,2006
1.1,11.0,1.0,1.0,15.0,13.0,drought,CCR,2007
1.6,7.0,1.0,1.0,0.0,42.0,drought,CCR,2008
0.0,42.0,0.0,42.0,0.0,42.0,drought,CCR,2009
0.0,42.0,0.0,42.0,0.0,42.0,drought,CCR,2010
2.7,5.0,1.0,1.0,95.0,9.0,drought,CCR,2011
