Year,"Drought Count","Drought Cost","Flooding Count","Flooding Cost","Freeze Count","Freeze Cost","Severe Storm Count","Severe Storm Cost","Tropical Cyclone Count","Tropical Cyclone Cost","Wildfire Count","Wildfire Cost","Winter Storm Count","Winter Storm Cost","All Disasters Count","All Disasters Cost"
1980,1,3.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.4
1981,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1982,0,0.0,0,0.0,0,0.0,2,0.9,0,0.0,0,0.0,1,0.6,3,1.5
1983,0,0.0,0,0.0,1,0.7,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7
1984,0,0.0,0,0.0,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,1,0.2
1985,0,0.0,1,0.2,0,0.0,0,0.0,1,0.7,0,0.0,1,0.6,3,1.5
1986,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1987,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1988,1,11.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,11.1
1989,1,0.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1,2,1.0
1990,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1991,1,3.7,0,0.0,0,0.0,1,0.6,1,0.3,0,0.0,0,0.0,3,4.6
1992,0,0.0,0,0.0,0,0.0,1,0.1,0,0.0,0,0.0,1,1.8,2,1.9
1993,0,0.0,1,10.8,0,0.0,1,0.2,0,0.0,0,0.0,1,1.1,3,12.1
1994,0,0.0,0,0.0,0,0.0,1,0.2,0,0.0,0,0.0,2,0.8,3,1.0
1995,1,0.4,0,0.0,0,0.0,1,0.1,0,0.0,0,0.0,0,0.0,2,0.5
1996,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1,0,0.0,1,1.5,2,1.7
1997,0,0.0,1,1.6,0,0.0,1,0.3,0,0.0,0,0.0,0,0.0,2,1.9
1998,0,0.0,0,0.0,0,0.0,2,4.0,0,0.0,0,0.0,1,0.5,3,4.5
1999,1,0.8,0,0.0,0,0.0,1,0.1,1,0.7,0,0.0,2,0.8,5,2.4
2000,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2001,0,0.0,0,0.0,0,0.0,1,1.2,1,0.6,0,0.0,0,0.0,2,1.8
2002,1,2.8,0,0.0,0,0.0,2,0.7,0,0.0,0,0.0,0,0.0,3,3.4
2003,1,1.6,0,0.0,0,0.0,4,2.0,1,0.5,1,0.1,0,0.0,7,4.2
2004,0,0.0,0,0.0,0,0.0,1,0.7,3,3.2,0,0.0,0,0.0,4,3.8
2005,1,0.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.9
2006,1,0.3,1,1.6,0,0.0,4,4.5,0,0.0,0,0.0,0,0.0,6,6.5
2007,1,1.5,0,0.0,1,0.5,1,0.6,0,0.0,1,0.0,0,0.0,4,2.6
2008,1,2.1,1,5.1,0,0.0,4,4.1,1,4.2,0,0.0,0,0.0,7,15.6
2009,0,0.0,0,0.0,0,0.0,3,1.4,0,0.0,0,0.0,0,0.0,3,1.4
2010,0,0.0,1,0.7,0,0.0,3,1.6,0,0.0,0,0.0,1,0.4,5,2.7
2011,1,1.6,0,0.0,0,0.0,8,5.8,2,6.2,0,0.0,1,0.8,12,14.3
2012,1,10.9,0,0.0,0,0.0,4,4.1,1,43.1,0,0.0,0,0.0,6,58.1
2013,1,2.1,1,1.1,0,0.0,5,2.9,0,0.0,0,0.0,0,0.0,7,6.1
2014,0,0.0,1,1.1,0,0.0,4,3.2,0,0.0,0,0.0,1,0.7,6,5.1
2015,0,0.0,1,0.0,0,0.0,4,1.3,0,0.0,0,0.0,1,0.8,6,2.1
2016,1,0.0,1,0.1,0,0.0,4,0.8,0,0.0,0,0.0,0,0.0,6,0.9
2017,0,0.0,1,0.5,0,0.0,5,5.1,0,0.0,0,0.0,0,0.0,6,5.6
2018,0,0.0,0,0.0,0,0.0,4,1.9,0,0.0,0,0.0,2,0.8,6,2.7
2019,0,0.0,2,5.5,0,0.0,4,5.0,0,0.0,0,0.0,0,0.0,6,10.5
2020,0,0.0,0,0.0,0,0.0,9,6.4,1,1.8,0,0.0,0,0.0,10,8.2
2021,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.7,1,0.7
