Year,"Drought Count","Drought Cost","Flooding Count","Flooding Cost","Freeze Count","Freeze Cost","Severe Storm Count","Severe Storm Cost","Tropical Cyclone Count","Tropical Cyclone Cost","Wildfire Count","Wildfire Cost","Winter Storm Count","Winter Storm Cost","All Disasters Count","All Disasters Cost"
1980,1,5.0,1,2.3,0,0.0,0,0.0,1,2.0,0,0.0,0,0.0,3,9.3
1981,0,0.0,0,0.0,1,1.7,1,1.2,0,0.0,0,0.0,0,0.0,2,2.9
1982,0,0.0,0,0.0,0,0.0,2,0.7,0,0.0,0,0.0,1,0.3,3,1.0
1983,1,1.9,1,3.4,1,3.2,0,0.0,1,8.1,0,0.0,0,0.0,4,16.6
1984,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,1,0.0
1985,0,0.0,0,0.0,1,3.0,0,0.0,2,7.0,0,0.0,1,0.4,4,10.3
1986,1,1.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.4
1987,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1988,1,5.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.5
1989,1,1.0,0,0.0,1,4.3,1,0.7,0,0.0,0,0.0,1,0.9,4,6.9
1990,0,0.0,1,1.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.4
1991,0,0.0,0,0.0,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,1,0.2
1992,0,0.0,0,0.0,0,0.0,3,4.0,1,51.3,0,0.0,0,0.0,4,55.3
1993,1,0.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.1,2,4.5
1994,0,0.0,1,1.8,0,0.0,1,0.9,1,0.3,1,0.2,1,4.1,5,7.4
1995,1,0.8,0,0.0,0,0.0,1,9.3,2,8.4,0,0.0,0,0.0,4,18.5
1996,1,1.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,2,1.8
1997,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,1,0.0
1998,1,3.0,1,1.5,0,0.0,1,0.6,2,5.1,0,0.0,0,0.0,5,10.3
1999,1,0.8,0,0.0,0,0.0,1,0.3,0,0.0,0,0.0,1,0.4,3,1.5
2000,1,3.0,1,1.4,0,0.0,1,1.1,0,0.0,0,0.0,1,0.7,4,6.1
2001,0,0.0,0,0.0,0,0.0,1,0.1,1,12.0,0,0.0,0,0.0,2,12.2
2002,1,1.2,0,0.0,0,0.0,2,0.3,2,3.3,1,0.6,0,0.0,6,5.4
2003,0,0.0,0,0.0,0,0.0,3,2.7,0,0.0,0,0.0,0,0.0,3,2.7
2004,0,0.0,0,0.0,0,0.0,0,0.0,4,64.2,0,0.0,0,0.0,4,64.2
2005,0,0.0,0,0.0,0,0.0,1,1.1,4,227.2,0,0.0,0,0.0,5,228.3
2006,1,2.6,0,0.0,0,0.0,2,0.4,0,0.0,1,0.4,0,0.0,4,3.4
2007,1,0.5,0,0.0,1,0.1,1,0.7,0,0.0,1,0.1,0,0.0,4,1.4
2008,1,1.4,0,0.0,0,0.0,2,1.0,3,40.4,1,0.6,0,0.0,7,43.3
2009,1,1.7,0,0.0,0,0.0,5,3.5,0,0.0,1,0.2,0,0.0,7,5.4
2010,0,0.0,0,0.0,0,0.0,1,0.1,0,0.0,0,0.0,0,0.0,1,0.1
2011,1,4.5,1,1.3,0,0.0,6,10.1,1,0.3,1,1.4,1,0.6,11,18.2
2012,1,3.7,0,0.0,0,0.0,5,3.2,1,3.2,1,0.0,0,0.0,8,10.1
2013,1,2.0,0,0.0,0,0.0,4,3.5,0,0.0,0,0.0,0,0.0,5,5.5
2014,1,0.9,0,0.0,0,0.0,4,2.7,0,0.0,0,0.0,1,0.5,6,4.1
2015,0,0.0,1,2.4,0,0.0,5,3.4,0,0.0,1,0.0,0,0.0,7,5.9
2016,1,0.1,3,16.6,0,0.0,7,9.4,1,2.3,1,0.1,0,0.0,13,28.5
2017,0,0.0,1,0.3,1,0.1,5,4.3,2,173.8,0,0.0,0,0.0,9,178.5
2018,1,2.0,0,0.0,0,0.0,6,3.5,1,18.7,0,0.0,0,0.0,8,24.2
2019,0,0.0,1,1.9,0,0.0,6,4.8,2,5.4,0,0.0,0,0.0,9,12.1
2020,1,1.5,0,0.0,0,0.0,9,6.1,7,32.6,0,0.0,0,0.0,17,40.2
2021,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,15.5,1,15.5
