Year,"Drought Count","Drought Cost","Flooding Count","Flooding Cost","Freeze Count","Freeze Cost","Severe Storm Count","Severe Storm Cost","Tropical Cyclone Count","Tropical Cyclone Cost","Wildfire Count","Wildfire Cost","Winter Storm Count","Winter Storm Cost","All Disasters Count","All Disasters Cost"
1980,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1981,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1982,0,0.0,0,0.0,0,0.0,2,0.1,0,0.0,0,0.0,1,0.4,3,0.5
1983,0,0.0,0,0.0,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,0.3
1984,0,0.0,0,0.0,0,0.0,1,0.9,0,0.0,0,0.0,0,0.0,1,0.9
1985,0,0.0,1,0.2,0,0.0,0,0.0,1,2.0,0,0.0,1,0.5,3,2.7
1986,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1987,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1988,1,1.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.2
1989,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1,1,0.1
1990,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1991,1,0.2,0,0.0,0,0.0,1,0.0,1,2.9,0,0.0,0,0.0,3,3.1
1992,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.7,1,4.7
1993,1,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.0,2,3.1
1994,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,1.7,2,1.7
1995,1,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1
1996,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,1,3.8,2,4.9
1997,0,0.0,0,0.0,0,0.0,1,0.4,0,0.0,0,0.0,0,0.0,1,0.4
1998,0,0.0,0,0.0,0,0.0,1,0.6,0,0.0,0,0.0,1,2.3,2,2.9
1999,1,0.6,0,0.0,0,0.0,0,0.0,1,2.4,0,0.0,2,1.6,4,4.5
2000,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2001,0,0.0,0,0.0,0,0.0,1,0.0,1,0.7,0,0.0,0,0.0,2,0.8
2002,1,1.5,0,0.0,0,0.0,2,0.7,0,0.0,0,0.0,0,0.0,3,2.1
2003,0,0.0,0,0.0,0,0.0,2,0.4,1,2.9,0,0.0,0,0.0,3,3.2
2004,0,0.0,0,0.0,0,0.0,1,0.1,3,3.4,0,0.0,0,0.0,4,3.5
2005,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2006,0,0.0,1,1.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.9
2007,1,0.5,0,0.0,0,0.0,1,2.2,0,0.0,0,0.0,0,0.0,2,2.6
2008,1,0.3,0,0.0,0,0.0,2,0.4,1,0.2,0,0.0,0,0.0,4,1.0
2009,0,0.0,0,0.0,0,0.0,2,0.3,0,0.0,0,0.0,0,0.0,2,0.3
2010,0,0.0,1,2.2,0,0.0,2,0.7,0,0.0,0,0.0,1,0.8,4,3.7
2011,1,1.1,0,0.0,0,0.0,2,0.5,2,14.8,0,0.0,1,0.8,6,17.2
2012,1,1.0,0,0.0,0,0.0,2,0.6,1,74.3,0,0.0,0,0.0,4,75.9
2013,0,0.0,0,0.0,0,0.0,2,0.1,0,0.0,0,0.0,0,0.0,2,0.1
2014,0,0.0,1,0.2,0,0.0,2,1.6,0,0.0,0,0.0,1,0.6,4,2.5
2015,0,0.0,1,0.0,0,0.0,3,0.5,0,0.0,0,0.0,1,2.2,5,2.8
2016,1,0.1,0,0.0,0,0.0,3,0.5,0,0.0,0,0.0,0,0.0,4,0.6
2017,0,0.0,0,0.0,0,0.0,3,0.4,0,0.0,0,0.0,0,0.0,3,0.4
2018,0,0.0,0,0.0,0,0.0,4,1.4,1,0.1,0,0.0,2,2.5,7,4.0
2019,0,0.0,0,0.0,0,0.0,3,1.6,0,0.0,0,0.0,0,0.0,3,1.6
2020,0,0.0,0,0.0,0,0.0,6,1.2,1,4.1,0,0.0,0,0.0,7,5.3
2021,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1,1,0.1
