Year,"Drought Count","Drought Cost","Flooding Count","Flooding Cost","Freeze Count","Freeze Cost","Severe Storm Count","Severe Storm Cost","Tropical Cyclone Count","Tropical Cyclone Cost","Wildfire Count","Wildfire Cost","Winter Storm Count","Winter Storm Cost","All Disasters Count","All Disasters Cost"
1980,1,7.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,7.0
1981,0,0.0,0,0.0,1,1.7,1,0.3,0,0.0,0,0.0,0,0.0,2,2.0
1982,0,0.0,0,0.0,0,0.0,2,0.0,0,0.0,0,0.0,1,0.3,3,0.3
1983,1,3.8,1,0.1,1,2.9,0,0.0,0,0.0,0,0.0,0,0.0,3,6.9
1984,0,0.0,0,0.0,0,0.0,1,0.6,0,0.0,0,0.0,0,0.0,1,0.6
1985,0,0.0,1,1.7,1,3.0,0,0.0,3,2.4,0,0.0,1,0.5,6,7.6
1986,1,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.0
1987,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1988,1,1.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.3
1989,0,0.0,0,0.0,1,4.3,1,0.5,1,16.0,0,0.0,1,0.2,4,21.1
1990,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1991,0,0.0,0,0.0,0,0.0,1,0.4,1,0.0,0,0.0,0,0.0,2,0.4
1992,0,0.0,0,0.0,0,0.0,2,1.8,1,49.4,0,0.0,1,0.0,4,51.2
1993,1,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,5.6,2,7.5
1994,0,0.0,0,0.0,0,0.0,0,0.0,1,1.8,0,0.0,2,1.4,3,3.2
1995,1,0.4,0,0.0,0,0.0,0,0.0,2,9.5,0,0.0,0,0.0,3,9.9
1996,0,0.0,0,0.0,0,0.0,0,0.0,1,7.3,0,0.0,1,0.6,2,7.9
1997,0,0.0,0,0.0,0,0.0,1,0.1,0,0.0,0,0.0,0,0.0,1,0.1
1998,1,2.4,0,0.0,0,0.0,2,0.5,2,3.7,0,0.0,0,0.0,5,6.5
1999,1,1.6,0,0.0,0,0.0,1,0.3,1,8.0,0,0.0,2,0.5,5,10.5
2000,1,1.6,1,1.4,0,0.0,0,0.0,0,0.0,0,0.0,1,0.4,3,3.4
2001,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,1,0.0
2002,1,1.6,0,0.0,0,0.0,2,0.6,1,0.5,1,0.6,0,0.0,5,3.3
2003,0,0.0,0,0.0,0,0.0,4,0.9,1,5.0,0,0.0,0,0.0,5,5.9
2004,0,0.0,0,0.0,0,0.0,1,0.0,4,69.1,0,0.0,0,0.0,5,69.2
2005,0,0.0,0,0.0,0,0.0,1,0.3,4,39.3,0,0.0,0,0.0,5,39.7
2006,1,0.8,1,0.1,0,0.0,2,0.5,0,0.0,1,0.0,0,0.0,5,1.4
2007,1,1.3,0,0.0,1,0.7,1,0.3,0,0.0,1,0.3,0,0.0,4,2.6
2008,1,1.2,0,0.0,0,0.0,2,1.4,2,0.2,1,0.1,0,0.0,6,3.0
2009,1,0.2,0,0.0,0,0.0,4,1.6,0,0.0,0,0.0,0,0.0,5,1.8
2010,0,0.0,1,0.0,0,0.0,1,0.2,0,0.0,0,0.0,1,0.2,3,0.4
2011,1,2.4,0,0.0,0,0.0,6,10.1,2,4.1,1,0.1,0,0.0,10,16.7
2012,1,0.5,0,0.0,0,0.0,2,0.9,2,0.8,0,0.0,0,0.0,5,2.2
2013,0,0.0,0,0.0,0,0.0,2,1.2,0,0.0,0,0.0,0,0.0,2,1.2
2014,0,0.0,0,0.0,0,0.0,2,1.4,0,0.0,0,0.0,1,0.9,3,2.3
2015,0,0.0,2,2.3,0,0.0,4,0.7,0,0.0,0,0.0,1,0.4,7,3.4
2016,1,0.1,1,0.0,0,0.0,4,1.0,1,11.1,1,0.1,0,0.0,8,12.4
2017,0,0.0,1,0.0,1,1.0,4,0.8,2,43.2,0,0.0,0,0.0,8,45.1
2018,0,0.0,0,0.0,0,0.0,4,2.3,2,50.9,0,0.0,2,0.9,8,54.0
2019,0,0.0,0,0.0,0,0.0,3,0.5,1,1.6,0,0.0,0,0.0,4,2.2
2020,0,0.0,0,0.0,0,0.0,9,3.4,5,12.1,0,0.0,0,0.0,14,15.4
2021,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.6,1,0.6
