Year,"Drought Count","Drought Cost","Flooding Count","Flooding Cost","Freeze Count","Freeze Cost","Severe Storm Count","Severe Storm Cost","Tropical Cyclone Count","Tropical Cyclone Cost","Wildfire Count","Wildfire Cost","Winter Storm Count","Winter Storm Cost","All Disasters Count","All Disasters Cost"
1980,1,3.8,0,0.0,0,0.0,0,0.0,1,1.4,0,0.0,0,0.0,2,5.3
1981,0,0.0,0,0.0,0,0.0,1,0.9,0,0.0,0,0.0,0,0.0,1,0.9
1982,0,0.0,0,0.0,0,0.0,2,1.0,0,0.0,0,0.0,1,0.2,3,1.2
1983,0,0.0,0,0.0,1,0.6,0,0.0,1,8.1,0,0.0,0,0.0,2,8.7
1984,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1985,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,1,0.2
1986,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1987,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1988,1,3.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.9
1989,1,1.9,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,1,0.7,3,3.1
1990,0,0.0,1,1.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.5
1991,1,0.9,0,0.0,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,2,1.1
1992,0,0.0,0,0.0,0,0.0,4,3.6,0,0.0,0,0.0,0,0.0,4,3.6
1993,0,0.0,1,1.4,0,0.0,1,0.1,0,0.0,0,0.0,1,0.2,3,1.8
1994,0,0.0,1,1.8,0,0.0,1,1.2,0,0.0,1,0.2,1,0.2,4,3.4
1995,1,0.5,0,0.0,0,0.0,1,3.3,0,0.0,0,0.0,0,0.0,2,3.8
1996,1,2.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,2,2.8
1997,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,1,0.0
1998,1,2.1,1,1.5,0,0.0,1,0.1,1,1.0,0,0.0,0,0.0,4,4.7
1999,0,0.0,0,0.0,0,0.0,1,2.5,0,0.0,0,0.0,1,0.2,2,2.6
2000,1,2.5,0,0.0,0,0.0,1,0.9,0,0.0,0,0.0,0,0.0,2,3.4
2001,0,0.0,0,0.0,0,0.0,1,0.3,1,11.2,0,0.0,0,0.0,2,11.5
2002,1,2.6,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,2,2.6
2003,1,0.8,0,0.0,0,0.0,2,4.2,0,0.0,1,0.0,0,0.0,4,5.0
2004,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,1,0.0
2005,0,0.0,0,0.0,0,0.0,1,0.8,1,10.4,0,0.0,0,0.0,2,11.2
2006,1,3.0,0,0.0,0,0.0,2,0.6,0,0.0,1,0.4,0,0.0,4,3.9
2007,0,0.0,0,0.0,1,0.5,1,0.7,0,0.0,0,0.0,0,0.0,2,1.2
2008,1,1.7,1,0.2,0,0.0,5,1.9,2,31.0,1,0.6,0,0.0,10,35.4
2009,1,2.7,0,0.0,0,0.0,4,3.5,0,0.0,1,0.2,0,0.0,6,6.4
2010,0,0.0,0,0.0,0,0.0,2,3.6,0,0.0,0,0.0,0,0.0,2,3.6
2011,1,5.9,1,0.1,0,0.0,8,7.0,0,0.0,1,1.4,1,0.7,12,15.1
2012,1,7.2,0,0.0,0,0.0,5,6.1,0,0.0,1,0.1,0,0.0,7,13.4
2013,1,3.8,0,0.0,0,0.0,4,4.5,0,0.0,0,0.0,0,0.0,5,8.4
2014,1,2.3,0,0.0,0,0.0,5,1.9,0,0.0,0,0.0,0,0.0,6,4.2
2015,0,0.0,1,2.6,0,0.0,5,3.9,0,0.0,1,0.0,0,0.0,7,6.5
2016,0,0.0,2,4.4,0,0.0,7,9.6,0,0.0,0,0.0,0,0.0,9,14.0
2017,0,0.0,1,0.3,0,0.0,5,4.2,1,131.4,0,0.0,0,0.0,7,135.9
2018,1,2.6,0,0.0,0,0.0,6,2.3,0,0.0,0,0.0,0,0.0,7,4.8
2019,0,0.0,2,3.7,0,0.0,6,4.9,1,5.0,0,0.0,0,0.0,9,13.6
2020,1,2.2,0,0.0,0,0.0,9,5.3,3,2.3,0,0.0,0,0.0,13,9.7
2021,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,15.6,1,15.6
