"Location ID","Location","Date","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
0100,"Alabama",189501,0.78,81,0.87,-0.09
0100,"Alabama",189502,-0.59,56,-0.53,-0.06
0100,"Alabama",189503,-0.17,71,-0.04,-0.13
0100,"Alabama",189504,-0.54,59,-0.32,-0.22
0100,"Alabama",189505,-0.55,61,-0.42,-0.13
0100,"Alabama",189506,0.58,79,0.67,-0.09
0100,"Alabama",189507,0.42,81,0.62,-0.2
0100,"Alabama",189508,0.77,81,1.0,-0.23
0100,"Alabama",189509,-0.78,56,-0.56,-0.22
0100,"Alabama",189510,-0.8,50,-0.63,-0.17
0100,"Alabama",189511,-1.41,40,-1.28,-0.13
0100,"Alabama",189512,-1.62,36,-1.51,-0.11
0100,"Alabama",189601,-1.65,30,-1.56,-0.09
0100,"Alabama",189602,-1.19,38,-1.13,-0.06
0100,"Alabama",189603,-1.23,44,-1.1,-0.13
0100,"Alabama",189604,-1.7,35,-1.48,-0.22
0100,"Alabama",189605,-2.15,25,-2.02,-0.13
0100,"Alabama",189606,-1.58,35,-1.49,-0.09
0100,"Alabama",189607,-1.7,32,-1.5,-0.2
0100,"Alabama",189608,-2.29,22,-2.06,-0.23
0100,"Alabama",189609,-2.91,14,-2.69,-0.22
0100,"Alabama",189610,-2.88,12,-2.71,-0.17
0100,"Alabama",189611,-2.63,17,-2.5,-0.13
0100,"Alabama",189612,-3.39,6,-3.28,-0.11
0100,"Alabama",189701,-3.49,5,-3.4,-0.09
0100,"Alabama",189702,-2.86,8,-2.8,-0.06
0100,"Alabama",189703,-1.58,33,-1.45,-0.13
0100,"Alabama",189704,-1.63,38,-1.41,-0.22
0100,"Alabama",189705,-2.22,23,-2.09,-0.13
0100,"Alabama",189706,-3.12,10,-3.03,-0.09
0100,"Alabama",189707,-3.49,9,-3.29,-0.2
0100,"Alabama",189708,-2.75,12,-2.52,-0.23
0100,"Alabama",189709,-3.65,6,-3.43,-0.22
0100,"Alabama",189710,-4.05,4,-3.88,-0.17
0100,"Alabama",189711,-4.41,2,-4.28,-0.13
0100,"Alabama",189712,-4.13,3,-4.02,-0.11
0100,"Alabama",189801,-4.16,3,-4.07,-0.09
0100,"Alabama",189802,-4.61,1,-4.55,-0.06
0100,"Alabama",189803,-5.13,1,-5.0,-0.13
0100,"Alabama",189804,-4.57,1,-4.35,-0.22
0100,"Alabama",189805,-5.37,1,-5.24,-0.13
0100,"Alabama",189806,-5.43,1,-5.34,-0.09
0100,"Alabama",189807,-4.99,1,-4.79,-0.2
0100,"Alabama",189808,0.85,85,1.08,-0.23
0100,"Alabama",189809,0.61,75,0.83,-0.22
0100,"Alabama",189810,0.93,81,1.1,-0.17
0100,"Alabama",189811,1.62,93,1.75,-0.13
0100,"Alabama",189812,1.21,91,1.32,-0.11
0100,"Alabama",189901,1.45,99,1.54,-0.09
0100,"Alabama",189902,1.79,107,1.85,-0.06
0100,"Alabama",189903,-0.02,73,0.11,-0.13
0100,"Alabama",189904,-0.65,56,-0.43,-0.22
0100,"Alabama",189905,-1.62,33,-1.49,-0.13
0100,"Alabama",189906,-2.25,23,-2.16,-0.09
0100,"Alabama",189907,-1.95,27,-1.75,-0.2
0100,"Alabama",189908,-2.23,23,-2.0,-0.23
0100,"Alabama",189909,-3.12,12,-2.9,-0.22
0100,"Alabama",189910,-3.07,11,-2.9,-0.17
0100,"Alabama",189911,-3.2,9,-3.07,-0.13
0100,"Alabama",189912,-2.92,10,-2.81,-0.11
0100,"Alabama",190001,-3.12,9,-3.03,-0.09
0100,"Alabama",190002,1.12,88,1.18,-0.06
0100,"Alabama",190003,0.97,88,1.1,-0.13
0100,"Alabama",190004,1.83,107,2.05,-0.22
