"Location ID","Location","Date","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
0100,"Alabama",189501,52.7,28,-3.3,56
0100,"Alabama",189502,48.1,1,-11.5,59.6
0100,"Alabama",189503,66.5,51,-0.7,67.2
0100,"Alabama",189504,75.7,63,0.1,75.6
0100,"Alabama",189505,80.6,18,-2.4,83
0100,"Alabama",189506,88.4,49,-0.9,89.3
0100,"Alabama",189507,89.6,32,-1.5,91.1
0100,"Alabama",189508,89.7,49,-0.9,90.6
0100,"Alabama",189509,89.1,104,2.8,86.3
0100,"Alabama",189510,74.2,16,-2.7,76.9
0100,"Alabama",189511,65.1,51,-0.9,66
0100,"Alabama",189512,57.1,57,-0.3,57.4
0100,"Alabama",189601,53.0,32,-3.0,56
0100,"Alabama",189602,59.0,60,-0.6,59.6
0100,"Alabama",189603,63.9,27,-3.3,67.2
0100,"Alabama",189604,80.6,123,5.0,75.6
0100,"Alabama",189605,87.8,122,4.8,83
0100,"Alabama",189606,87.9,41,-1.4,89.3
0100,"Alabama",189607,91.6,80,0.5,91.1
0100,"Alabama",189608,94.0,119,3.4,90.6
0100,"Alabama",189609,89.2,108,2.9,86.3
0100,"Alabama",189610,75.8,47,-1.1,76.9
0100,"Alabama",189611,68.9,98,2.9,66
0100,"Alabama",189612,57.7,63,0.3,57.4
0100,"Alabama",189701,52.1,23,-3.9,56
0100,"Alabama",189702,61.0,80,1.4,59.6
0100,"Alabama",189703,69.9,93,2.7,67.2
0100,"Alabama",189704,74.8,47,-0.8,75.6
0100,"Alabama",189705,82.2,53,-0.8,83
0100,"Alabama",189706,94.0,122,4.7,89.3
0100,"Alabama",189707,92.8,107,1.7,91.1
0100,"Alabama",189708,89.5,39,-1.1,90.6
0100,"Alabama",189709,88.7,101,2.4,86.3
0100,"Alabama",189710,81.0,121,4.1,76.9
0100,"Alabama",189711,67.1,79,1.1,66
0100,"Alabama",189712,58.0,71,0.6,57.4
0100,"Alabama",189801,59.1,97,3.1,56
0100,"Alabama",189802,58.0,42,-1.6,59.6
0100,"Alabama",189803,69.9,93,2.7,67.2
0100,"Alabama",189804,71.0,4,-4.6,75.6
0100,"Alabama",189805,88.0,123,5.0,83
0100,"Alabama",189806,92.7,113,3.4,89.3
0100,"Alabama",189807,90.5,51,-0.6,91.1
0100,"Alabama",189808,88.4,18,-2.2,90.6
0100,"Alabama",189809,85.4,53,-0.9,86.3
0100,"Alabama",189810,72.3,4,-4.6,76.9
0100,"Alabama",189811,61.0,6,-5.0,66
0100,"Alabama",189812,54.3,23,-3.1,57.4
0100,"Alabama",189901,54.4,48,-1.6,56
0100,"Alabama",189902,51.4,7,-8.2,59.6
0100,"Alabama",189903,67.8,69,0.6,67.2
0100,"Alabama",189904,72.6,13,-3.0,75.6
0100,"Alabama",189905,88.6,125,5.6,83
0100,"Alabama",189906,92.3,110,3.0,89.3
0100,"Alabama",189907,91.9,89,0.8,91.1
0100,"Alabama",189908,92.0,98,1.4,90.6
0100,"Alabama",189909,86.3,66,-0.0,86.3
0100,"Alabama",189910,78.1,85,1.2,76.9
0100,"Alabama",189911,67.8,84,1.8,66
0100,"Alabama",189912,55.6,35,-1.8,57.4
0100,"Alabama",190001,55.3,53,-0.7,56
0100,"Alabama",190002,56.4,26,-3.2,59.6
0100,"Alabama",190003,64.5,31,-2.7,67.2
0100,"Alabama",190004,76.7,84,1.1,75.6
0100,"Alabama",190005,84.4,87,1.4,83
0100,"Alabama",190006,85.2,7,-4.1,89.3
0100,"Alabama",190007,90.6,55,-0.5,91.1
0100,"Alabama",190008,93.5,113,2.9,90.6
0100,"Alabama",190009,89.1,104,2.8,86.3
0100,"Alabama",190010,78.2,88,1.3,76.9
0100,"Alabama",190011,66.4,70,0.4,66
0100,"Alabama",190012,57.4,60,-0.0,57.4
0100,"Alabama",190101,57.5,82,1.5,56
0100,"Alabama",190102,53.9,14,-5.7,59.6
0100,"Alabama",190103,65.5,38,-1.7,67.2
0100,"Alabama",190104,70.0,1,-5.6,75.6
0100,"Alabama",190105,84.0,79,1.0,83
0100,"Alabama",190106,91.1,98,1.8,89.3
0100,"Alabama",190107,95.1,123,4.0,91.1
0100,"Alabama",190108,89.6,41,-1.0,90.6
0100,"Alabama",190109,83.7,21,-2.6,86.3
0100,"Alabama",190110,76.2,56,-0.7,76.9
0100,"Alabama",190111,62.7,19,-3.3,66
0100,"Alabama",190112,53.6,17,-3.8,57.4
0100,"Alabama",190201,55.4,55,-0.6,56
0100,"Alabama",190202,50.9,6,-8.7,59.6
0100,"Alabama",190203,66.2,48,-1.0,67.2
0100,"Alabama",190204,74.9,52,-0.7,75.6
0100,"Alabama",190205,88.3,124,5.3,83
0100,"Alabama",190206,94.6,124,5.3,89.3
0100,"Alabama",190207,96.1,125,5.0,91.1
0100,"Alabama",190208,94.6,123,4.0,90.6
0100,"Alabama",190209,84.8,40,-1.5,86.3
0100,"Alabama",190210,75.6,42,-1.3,76.9
0100,"Alabama",190211,69.2,104,3.2,66
0100,"Alabama",190212,55.6,35,-1.8,57.4
0100,"Alabama",190301,53.5,35,-2.5,56
0100,"Alabama",190302,59.5,67,-0.1,59.6
0100,"Alabama",190303,68.4,74,1.2,67.2
0100,"Alabama",190304,74.0,32,-1.6,75.6
0100,"Alabama",190305,81.0,28,-2.0,83
0100,"Alabama",190306,85.1,6,-4.2,89.3
0100,"Alabama",190307,92.0,92,0.9,91.1
0100,"Alabama",190308,91.8,94,1.2,90.6
0100,"Alabama",190309,86.7,73,0.4,86.3
0100,"Alabama",190310,77.0,68,0.1,76.9
0100,"Alabama",190311,62.5,15,-3.5,66
0100,"Alabama",190312,52.8,14,-4.6,57.4
0100,"Alabama",190401,52.6,27,-3.4,56
0100,"Alabama",190402,60.2,72,0.6,59.6
0100,"Alabama",190403,70.3,98,3.1,67.2
0100,"Alabama",190404,72.7,15,-2.9,75.6
0100,"Alabama",190405,84.2,82,1.2,83
0100,"Alabama",190406,91.3,101,2.0,89.3
0100,"Alabama",190407,90.6,55,-0.5,91.1
0100,"Alabama",190408,89.6,41,-1.0,90.6
0100,"Alabama",190409,90.3,116,4.0,86.3
0100,"Alabama",190410,80.1,115,3.2,76.9
0100,"Alabama",190411,64.9,49,-1.1,66
0100,"Alabama",190412,57.0,55,-0.4,57.4
0100,"Alabama",190501,49.8,9,-6.2,56
0100,"Alabama",190502,49.5,2,-10.1,59.6
0100,"Alabama",190503,71.6,109,4.4,67.2
0100,"Alabama",190504,75.7,63,0.1,75.6
0100,"Alabama",190505,85.4,107,2.4,83
