Year,"Drought Count","Drought Cost","Flooding Count","Flooding Cost","Freeze Count","Freeze Cost","Severe Storm Count","Severe Storm Cost","Tropical Cyclone Count","Tropical Cyclone Cost","Wildfire Count","Wildfire Cost","Winter Storm Count","Winter Storm Cost","All Disasters Count","All Disasters Cost"
1980,1,10.2,0,0.0,0,0.0,0,0.0,1,1.4,0,0.0,0,0.0,2,11.7
1981,0,0.0,0,0.0,0,0.0,1,0.9,0,0.0,0,0.0,0,0.0,1,0.9
1982,0,0.0,0,0.0,0,0.0,2,1.4,0,0.0,0,0.0,1,0.3,3,1.7
1983,1,0.3,0,0.0,1,0.8,0,0.0,1,8.1,0,0.0,0,0.0,3,9.2
1984,0,0.0,0,0.0,0,0.0,2,0.1,0,0.0,0,0.0,0,0.0,2,0.1
1985,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.3,1,0.3
1986,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1987,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1988,1,10.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,10.5
1989,1,4.4,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,1,0.7,3,5.6
1990,0,0.0,1,1.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.5
1991,1,1.6,0,0.0,0,0.0,1,0.3,0,0.0,0,0.0,0,0.0,2,1.9
1992,0,0.0,0,0.0,0,0.0,4,3.6,0,0.0,0,0.0,0,0.0,4,3.6
1993,0,0.0,1,24.9,0,0.0,1,0.9,0,0.0,0,0.0,1,0.2,3,26.0
1994,0,0.0,1,1.8,0,0.0,1,1.5,0,0.0,1,0.2,1,0.2,4,3.7
1995,1,0.5,0,0.0,0,0.0,1,3.4,0,0.0,0,0.0,0,0.0,2,3.8
1996,1,2.6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.3,2,2.9
1997,0,0.0,1,0.2,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,2,0.2
1998,1,2.1,1,1.5,0,0.0,2,0.2,1,1.0,0,0.0,0,0.0,5,4.7
1999,0,0.0,0,0.0,0,0.0,1,2.5,0,0.0,0,0.0,1,0.2,2,2.7
2000,1,3.5,0,0.0,0,0.0,1,0.9,0,0.0,0,0.0,0,0.0,2,4.4
2001,0,0.0,0,0.0,0,0.0,1,3.4,1,11.2,0,0.0,0,0.0,2,14.6
2002,1,5.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,2,5.1
2003,1,3.3,0,0.0,0,0.0,3,5.6,0,0.0,1,0.0,0,0.0,5,9.0
2004,0,0.0,0,0.0,0,0.0,1,0.7,0,0.0,0,0.0,0,0.0,1,0.7
2005,1,0.7,0,0.0,0,0.0,1,0.8,1,10.4,0,0.0,0,0.0,3,11.9
2006,1,4.7,0,0.0,0,0.0,3,1.6,0,0.0,1,0.5,0,0.0,5,6.8
2007,0,0.0,0,0.0,1,1.0,1,0.7,0,0.0,0,0.0,0,0.0,2,1.7
2008,1,1.7,1,7.3,0,0.0,5,2.7,2,31.4,1,0.6,0,0.0,10,43.7
2009,1,2.7,0,0.0,0,0.0,5,4.0,0,0.0,1,0.2,0,0.0,7,7.0
2010,0,0.0,0,0.0,0,0.0,3,3.6,0,0.0,0,0.0,0,0.0,3,3.6
2011,1,7.0,2,2.6,0,0.0,9,13.9,0,0.0,1,1.4,1,0.7,14,25.5
2012,1,19.0,0,0.0,0,0.0,5,8.0,0,0.0,1,0.2,0,0.0,7,27.2
2013,1,7.3,1,0.1,0,0.0,5,6.2,0,0.0,0,0.0,0,0.0,7,13.6
2014,1,2.3,0,0.0,0,0.0,6,4.3,0,0.0,0,0.0,1,0.0,8,6.7
2015,0,0.0,1,2.6,0,0.0,6,5.4,0,0.0,1,0.0,0,0.0,8,8.1
2016,0,0.0,2,4.4,0,0.0,7,11.2,0,0.0,0,0.0,0,0.0,9,15.6
2017,1,0.6,1,0.7,0,0.0,7,7.1,1,131.4,0,0.0,0,0.0,10,139.8
2018,1,2.7,0,0.0,0,0.0,7,3.3,0,0.0,0,0.0,0,0.0,8,6.0
2019,0,0.0,3,12.0,0,0.0,6,6.0,1,5.0,0,0.0,0,0.0,10,23.0
2020,1,3.1,0,0.0,0,0.0,12,17.5,3,2.3,0,0.0,0,0.0,16,22.8
2021,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,15.6,1,15.6
