Year,"Drought Count","Drought Cost","Drought Lower 75","Drought Upper 75","Drought Lower 90","Drought Upper 90","Drought Lower 95","Drought Upper 95","Flooding Count","Flooding Cost","Flooding Lower 75","Flooding Upper 75","Flooding Lower 90","Flooding Upper 90","Flooding Lower 95","Flooding Upper 95","Freeze Count","Freeze Cost","Freeze Lower 75","Freeze Upper 75","Freeze Lower 90","Freeze Upper 90","Freeze Lower 95","Freeze Upper 95","Severe Storm Count","Severe Storm Cost","Severe Storm Lower 75","Severe Storm Upper 75","Severe Storm Lower 90","Severe Storm Upper 90","Severe Storm Lower 95","Severe Storm Upper 95","Tropical Cyclone Count","Tropical Cyclone Cost","Tropical Cyclone Lower 75","Tropical Cyclone Upper 75","Tropical Cyclone Lower 90","Tropical Cyclone Upper 90","Tropical Cyclone Lower 95","Tropical Cyclone Upper 95","Wildfire Count","Wildfire Cost","Wildfire Lower 75","Wildfire Upper 75","Wildfire Lower 90","Wildfire Upper 90","Wildfire Lower 95","Wildfire Upper 95","Winter Storm Count","Winter Storm Cost","Winter Storm Lower 75","Winter Storm Upper 75","Winter Storm Lower 90","Winter Storm Upper 90","Winter Storm Lower 95","Winter Storm Upper 95","All Disasters Count","All Disasters Cost","All Disasters Lower 75","All Disasters Upper 75","All Disasters Lower 90","All Disasters Upper 90","All Disasters Lower 95","All Disasters Upper 95"
1980,1,33.9,26.9,40.4,25.0,42.5,23.9,43.7,1,2.4,1.4,2.6,1.2,3.5,1.0,3.9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,1.4,2.7,1.2,3.5,1.0,4.3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,38.3,29.7,45.7,27.4,49.5,25.9,51.9
1981,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.7,1.4,1.8,1.2,2.0,0.9,2.3,1,1.2,1.0,1.2,0.7,1.4,0.5,1.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.9,2.4,3.0,1.9,3.4,1.4,4.1
1982,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.6,2.4,2.8,2.0,2.8,1.8,3.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.8,1.3,2.0,1.1,2.3,0.1,2.7,3,4.4,3.7,4.8,3.1,5.1,1.9,6.1
1983,1,8.0,5.6,9.2,5.1,10.2,4.7,10.8,2,8.5,7.5,10.3,7.0,10.8,6.6,11.1,1,5.4,4.4,6.4,4.2,6.6,4.1,6.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8.1,5.5,8.0,5.1,8.5,4.8,8.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,30.0,23.0,33.9,21.4,36.1,20.2,37.3
1984,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.8,2.5,3.0,2.2,3.3,2.0,3.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.8,2.5,3.0,2.2,3.3,2.0,3.6
1985,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.4,2.2,3.7,2.0,4.1,1.8,4.5,1,3.0,2.5,3.2,2.3,3.5,2.1,3.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,9.0,6.1,9.1,5.5,9.8,5.1,10.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.1,2.1,2.3,2.1,2.4,2.1,2.4,6,17.5,12.9,18.3,11.9,19.8,11.1,20.9
1986,1,4.3,3.5,5.1,3.3,5.5,3.1,5.7,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.3,0.9,1.3,0.9,1.4,0.9,1.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,5.6,4.4,6.4,4.2,6.9,4.0,7.2
1987,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,1,45.4,34.6,55.3,32.0,57.7,30.9,59.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,45.4,34.6,55.3,32.0,57.7,30.9,59.0
1989,1,6.5,5.7,7.6,5.4,7.8,5.2,8.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.3,3.4,5.3,3.2,5.5,3.1,5.6,1,1.2,1.1,1.2,1.0,1.4,0.9,1.5,1,19.5,17.6,20.4,17.0,21.0,16.7,21.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.5,1.4,1.7,1.3,1.8,1.3,1.9,5,33.0,29.2,36.2,27.9,37.5,27.2,38.5
