year,count,cost,deaths,lower75,upper75,lower90,upper90,lower95,upper95,countRank,costRank,deathsRank,disaster
1980,1.0,33.9,1260.0,26.9,26.9,25.0,25.0,23.9,23.9,1.0,3.0,1.0,drought
1981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,42.0,drought
1982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,42.0,drought
1983,1.0,8.0,0.0,5.6,5.6,5.1,5.1,4.7,4.7,1.0,8.0,42.0,drought
1984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,42.0,drought
1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,42.0,drought
1986,1.0,4.3,100.0,3.5,3.5,3.3,3.3,3.1,3.1,1.0,20.0,8.0,drought
1987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,42.0,drought
1988,1.0,45.4,454.0,34.6,34.6,32.0,32.0,30.9,30.9,1.0,1.0,4.0,drought
1989,1.0,6.5,0.0,5.7,5.7,5.4,5.4,5.2,5.2,1.0,12.0,42.0,drought
1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,42.0,drought
1991,1.0,5.9,0.0,5.9,5.9,5.6,5.6,5.4,5.4,1.0,13.0,42.0,drought
1992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,42.0,drought
1993,1.0,2.3,16.0,2.3,2.3,2.2,2.2,2.2,2.2,1.0,26.0,13.0,drought
1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,42.0,drought
1995,1.0,1.7,872.0,1.5,1.5,1.3,1.3,1.1,1.1,1.0,28.0,2.0,drought
1996,1.0,3.0,0.0,3.0,3.0,2.8,2.8,2.7,2.7,1.0,24.0,42.0,drought
1997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,42.0,42.0,drought
1998,1.0,5.8,200.0,4.9,4.9,4.7,4.7,4.6,4.6,1.0,14.0,5.0,drought
1999,1.0,4.0,502.0,3.7,3.7,3.6,3.6,3.5,3.5,1.0,21.0,3.0,drought
