Year,"Drought Count","Drought Cost","Flooding Count","Flooding Cost","Freeze Count","Freeze Cost","Severe Storm Count","Severe Storm Cost","Tropical Cyclone Count","Tropical Cyclone Cost","Wildfire Count","Wildfire Cost","Winter Storm Count","Winter Storm Cost","All Disasters Count","All Disasters Cost"
1980,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1981,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1982,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1983,0,0.0,1,2.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.1
1984,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1985,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1986,0,0.0,0,0.0,0,0.0,1,1.1,0,0.0,0,0.0,0,0.0,1,1.1
1987,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1988,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1989,1,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1
1990,0,0.0,0,0.0,1,7.0,0,0.0,0,0.0,0,0.0,0,0.0,1,7.0
1991,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,6.4,0,0.0,1,6.4
1992,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1993,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.5,0,0.0,1,2.5
1994,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.3,0,0.0,1,0.3
1995,0,0.0,1,4.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.4
1996,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1997,0,0.0,1,3.9,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.9
1998,0,0.0,0,0.0,1,4.1,1,1.0,0,0.0,0,0.0,0,0.0,2,5.0
1999,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2000,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2
2001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2002,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,0,0.0,2,0.3
2003,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.7,0,0.0,2,4.7
2004,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2005,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2006,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,1,0.5
2007,1,0.2,0,0.0,1,1.8,0,0.0,0,0.0,1,2.4,0,0.0,3,4.4
2008,1,0.1,0,0.0,0,0.0,1,0.6,0,0.0,1,0.5,0,0.0,3,1.1
2009,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,1,0.4,0,0.0,2,0.6
2010,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2011,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.1,0,0.0,1,0.1
2012,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2,0,0.0,2,0.4
2013,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.3
2014,1,1.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.2
2015,1,4.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.5,0,0.0,2,6.5
2016,1,3.5,0,0.0,0,0.0,0,0.0,0,0.0,1,0.6,0,0.0,2,4.1
2017,0,0.0,1,1.6,0,0.0,1,0.4,0,0.0,1,17.2,0,0.0,3,19.2
2018,1,0.1,0,0.0,0,0.0,0,0.0,0,0.0,1,22.9,0,0.0,2,23.0
2019,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.2,0,0.0,1,4.2
2020,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,1,12.2,0,0.0,2,12.5
2021,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0,1,0.0
