Year,"Drought Count","Drought Cost","Flooding Count","Flooding Cost","Freeze Count","Freeze Cost","Severe Storm Count","Severe Storm Cost","Tropical Cyclone Count","Tropical Cyclone Cost","Wildfire Count","Wildfire Cost","Winter Storm Count","Winter Storm Cost","All Disasters Count","All Disasters Cost"
1980,1,11.7,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,11.7
1981,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1982,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,1,0.0,2,0.1
1983,0,0.0,1,0.1,1,0.1,0,0.0,0,0.0,0,0.0,0,0.0,2,0.2
1984,0,0.0,0,0.0,0,0.0,1,0.1,0,0.0,0,0.0,0,0.0,1,0.1
1985,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1986,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,1,0.0
1987,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1988,1,14.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,14.3
1989,1,2.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,2.1
1990,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1991,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1992,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1993,0,0.0,1,5.9,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,2,6.1
1994,0,0.0,0,0.0,0,0.0,1,0.1,0,0.0,0,0.0,0,0.0,1,0.1
1995,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
1996,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0
1997,0,0.0,2,4.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,4.5
1998,0,0.0,0,0.0,0,0.0,1,0.1,0,0.0,0,0.0,0,0.0,1,0.1
1999,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,1,0.0
2000,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,2,1.6
2001,0,0.0,0,0.0,0,0.0,1,0.3,0,0.0,0,0.0,0,0.0,1,0.3
2002,1,3.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,3.3
2003,1,1.9,0,0.0,0,0.0,1,0.3,0,0.0,1,0.3,0,0.0,3,2.5
2004,0,0.0,0,0.0,0,0.0,1,0.3,0,0.0,0,0.0,0,0.0,1,0.3
2005,1,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.2
2006,1,2.3,0,0.0,0,0.0,1,0.0,0,0.0,1,0.3,0,0.0,3,2.7
2007,1,0.1,0,0.0,1,0.0,0,0.0,0,0.0,1,0.1,0,0.0,3,0.2
2008,1,1.2,1,0.1,0,0.0,2,0.2,0,0.0,1,0.1,0,0.0,5,1.6
2009,0,0.0,0,0.0,0,0.0,2,0.1,0,0.0,0,0.0,0,0.0,2,0.1
2010,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
2011,0,0.0,1,1.4,0,0.0,3,0.8,0,0.0,1,0.0,0,0.0,5,2.2
2012,1,6.7,0,0.0,0,0.0,1,0.2,0,0.0,1,0.3,0,0.0,3,7.2
2013,1,1.9,0,0.0,0,0.0,1,1.1,0,0.0,0,0.0,0,0.0,2,3.0
2014,0,0.0,0,0.0,0,0.0,2,2.2,0,0.0,0,0.0,0,0.0,2,2.2
2015,1,0.2,0,0.0,0,0.0,2,0.2,0,0.0,1,0.1,0,0.0,4,0.5
2016,0,0.0,0,0.0,0,0.0,3,1.4,0,0.0,1,0.0,0,0.0,4,1.5
2017,1,2.7,0,0.0,0,0.0,3,1.6,0,0.0,1,0.9,0,0.0,5,5.1
2018,0,0.0,0,0.0,0,0.0,2,0.2,0,0.0,1,0.4,0,0.0,3,0.6
2019,0,0.0,2,5.3,0,0.0,1,0.8,0,0.0,0,0.0,0,0.0,3,6.2
2020,1,0.9,0,0.0,0,0.0,3,0.5,0,0.0,1,0.2,0,0.0,5,1.6
2021,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
